country,alpha_2_code,alpha_3_code,numeric_code,indicator,time_period,obs_value,sex,unit_multiplier,unit_of_measure,observation_status,observation_confidentaility,time_period_activity_related_to_when_the_data_are_collected,current_age
Albania,AL,ALB,8,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2009,98,Total,Units,%,Estimated value,Free,,Total
Albania,AL,ALB,8,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2010,98,Total,Units,%,Estimated value,Free,,Total
Albania,AL,ALB,8,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2011,99,Total,Units,%,Estimated value,Free,,Total
Albania,AL,ALB,8,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2012,99,Total,Units,%,Estimated value,Free,,Total
Albania,AL,ALB,8,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2013,99,Total,Units,%,Estimated value,Free,,Total
Albania,AL,ALB,8,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2014,98,Total,Units,%,Estimated value,Free,,Total
Albania,AL,ALB,8,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2015,98,Total,Units,%,Estimated value,Free,,Total
Albania,AL,ALB,8,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2016,98,Total,Units,%,Estimated value,Free,,Total
Albania,AL,ALB,8,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2017,98,Total,Units,%,Estimated value,Free,,Total
Albania,AL,ALB,8,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2018,96,Total,Units,%,Estimated value,Free,,Total
Albania,AL,ALB,8,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2019,96,Total,Units,%,Estimated value,Free,,Total
Albania,AL,ALB,8,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2020,94,Total,Units,%,Estimated value,Free,,Total
Albania,AL,ALB,8,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2021,92,Total,Units,%,Estimated value,Free,,Total
Albania,AL,ALB,8,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2022,93,Total,Units,%,Estimated value,Free,,Total
Algeria,DZ,DZA,12,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2000,78,Total,Units,%,Estimated value,Free,,Total
Algeria,DZ,DZA,12,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2001,73,Total,Units,%,Estimated value,Free,,Total
Algeria,DZ,DZA,12,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2002,93,Total,Units,%,Estimated value,Free,,Total
Algeria,DZ,DZA,12,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2003,96,Total,Units,%,Estimated value,Free,,Total
Algeria,DZ,DZA,12,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2004,94,Total,Units,%,Estimated value,Free,,Total
Algeria,DZ,DZA,12,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2005,94,Total,Units,%,Estimated value,Free,,Total
Algeria,DZ,DZA,12,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2006,98,Total,Units,%,Estimated value,Free,,Total
Algeria,DZ,DZA,12,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2007,95,Total,Units,%,Estimated value,Free,,Total
Algeria,DZ,DZA,12,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2008,96,Total,Units,%,Estimated value,Free,,Total
Algeria,DZ,DZA,12,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2009,98,Total,Units,%,Estimated value,Free,,Total
Algeria,DZ,DZA,12,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2010,95,Total,Units,%,Estimated value,Free,,Total
Algeria,DZ,DZA,12,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2011,96,Total,Units,%,Estimated value,Free,,Total
Algeria,DZ,DZA,12,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2012,95,Total,Units,%,Estimated value,Free,,Total
Algeria,DZ,DZA,12,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2013,93,Total,Units,%,Estimated value,Free,,Total
Algeria,DZ,DZA,12,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2014,99,Total,Units,%,Estimated value,Free,,Total
Algeria,DZ,DZA,12,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2015,99,Total,Units,%,Estimated value,Free,,Total
Algeria,DZ,DZA,12,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2016,96,Total,Units,%,Estimated value,Free,,Total
Algeria,DZ,DZA,12,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2017,92,Total,Units,%,Estimated value,Free,,Total
Algeria,DZ,DZA,12,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2018,77,Total,Units,%,Estimated value,Free,,Total
Algeria,DZ,DZA,12,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2019,76,Total,Units,%,Estimated value,Free,,Total
Algeria,DZ,DZA,12,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2020,74,Total,Units,%,Estimated value,Free,,Total
Algeria,DZ,DZA,12,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2021,73,Total,Units,%,Estimated value,Free,,Total
Algeria,DZ,DZA,12,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2022,71,Total,Units,%,Estimated value,Free,,Total
Andorra,AD,AND,20,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2007,80,Total,Units,%,Estimated value,Free,,Total
Andorra,AD,AND,20,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2008,86,Total,Units,%,Estimated value,Free,,Total
Andorra,AD,AND,20,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2009,82,Total,Units,%,Estimated value,Free,,Total
Andorra,AD,AND,20,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2010,86,Total,Units,%,Estimated value,Free,,Total
Andorra,AD,AND,20,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2011,82,Total,Units,%,Estimated value,Free,,Total
Andorra,AD,AND,20,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2012,89,Total,Units,%,Estimated value,Free,,Total
Andorra,AD,AND,20,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2013,91,Total,Units,%,Estimated value,Free,,Total
Andorra,AD,AND,20,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2014,90,Total,Units,%,Estimated value,Free,,Total
Andorra,AD,AND,20,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2015,88,Total,Units,%,Estimated value,Free,,Total
Andorra,AD,AND,20,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2016,90,Total,Units,%,Estimated value,Free,,Total
Andorra,AD,AND,20,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2017,94,Total,Units,%,Estimated value,Free,,Total
Andorra,AD,AND,20,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2018,95,Total,Units,%,Estimated value,Free,,Total
Andorra,AD,AND,20,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2019,94,Total,Units,%,Estimated value,Free,,Total
Andorra,AD,AND,20,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2020,93,Total,Units,%,Estimated value,Free,,Total
Andorra,AD,AND,20,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2021,97,Total,Units,%,Estimated value,Free,,Total
Andorra,AD,AND,20,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2022,96,Total,Units,%,Estimated value,Free,,Total
Angola,AO,AGO,24,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2015,16,Total,Units,%,Estimated value,Free,,Total
Angola,AO,AGO,24,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2016,16,Total,Units,%,Estimated value,Free,,Total
Angola,AO,AGO,24,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2017,18,Total,Units,%,Estimated value,Free,,Total
Angola,AO,AGO,24,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2018,23,Total,Units,%,Estimated value,Free,,Total
Angola,AO,AGO,24,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2019,33,Total,Units,%,Estimated value,Free,,Total
Angola,AO,AGO,24,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2020,29,Total,Units,%,Estimated value,Free,,Total
Angola,AO,AGO,24,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2021,22,Total,Units,%,Estimated value,Free,,Total
Angola,AO,AGO,24,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2022,25,Total,Units,%,Estimated value,Free,,Total
Antigua and Barbuda,AG,ATG,28,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2005,46,Total,Units,%,Estimated value,Free,,Total
Antigua and Barbuda,AG,ATG,28,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2006,68,Total,Units,%,Estimated value,Free,,Total
Antigua and Barbuda,AG,ATG,28,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2007,78,Total,Units,%,Estimated value,Free,,Total
Antigua and Barbuda,AG,ATG,28,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2008,83,Total,Units,%,Estimated value,Free,,Total
Antigua and Barbuda,AG,ATG,28,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2009,94,Total,Units,%,Estimated value,Free,,Total
Antigua and Barbuda,AG,ATG,28,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2010,92,Total,Units,%,Estimated value,Free,,Total
Antigua and Barbuda,AG,ATG,28,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2011,89,Total,Units,%,Estimated value,Free,,Total
Antigua and Barbuda,AG,ATG,28,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2012,90,Total,Units,%,Estimated value,Free,,Total
Antigua and Barbuda,AG,ATG,28,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2013,87,Total,Units,%,Estimated value,Free,,Total
Antigua and Barbuda,AG,ATG,28,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2014,99,Total,Units,%,Estimated value,Free,,Total
Antigua and Barbuda,AG,ATG,28,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2015,84,Total,Units,%,Estimated value,Free,,Total
Antigua and Barbuda,AG,ATG,28,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2016,68,Total,Units,%,Estimated value,Free,,Total
Antigua and Barbuda,AG,ATG,28,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2017,95,Total,Units,%,Estimated value,Free,,Total
Antigua and Barbuda,AG,ATG,28,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2018,95,Total,Units,%,Estimated value,Free,,Total
Antigua and Barbuda,AG,ATG,28,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2019,80,Total,Units,%,Estimated value,Free,,Total
Antigua and Barbuda,AG,ATG,28,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2020,80,Total,Units,%,Estimated value,Free,,Total
Antigua and Barbuda,AG,ATG,28,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2021,76,Total,Units,%,Estimated value,Free,,Total
Antigua and Barbuda,AG,ATG,28,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2022,91,Total,Units,%,Estimated value,Free,,Total
Argentina,AR,ARG,32,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2000,56,Total,Units,%,Estimated value,Free,,Total
Argentina,AR,ARG,32,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2001,56,Total,Units,%,Estimated value,Free,,Total
Argentina,AR,ARG,32,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2002,83,Total,Units,%,Estimated value,Free,,Total
Argentina,AR,ARG,32,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2003,80,Total,Units,%,Estimated value,Free,,Total
Argentina,AR,ARG,32,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2004,93,Total,Units,%,Estimated value,Free,,Total
Argentina,AR,ARG,32,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2005,88,Total,Units,%,Estimated value,Free,,Total
Argentina,AR,ARG,32,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2006,91,Total,Units,%,Estimated value,Free,,Total
Argentina,AR,ARG,32,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2007,84,Total,Units,%,Estimated value,Free,,Total
Argentina,AR,ARG,32,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2008,88,Total,Units,%,Estimated value,Free,,Total
Argentina,AR,ARG,32,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2009,96,Total,Units,%,Estimated value,Free,,Total
Argentina,AR,ARG,32,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2010,94,Total,Units,%,Estimated value,Free,,Total
Argentina,AR,ARG,32,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2011,91,Total,Units,%,Estimated value,Free,,Total
Argentina,AR,ARG,32,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2012,89,Total,Units,%,Estimated value,Free,,Total
Argentina,AR,ARG,32,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2013,83,Total,Units,%,Estimated value,Free,,Total
Argentina,AR,ARG,32,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2014,96,Total,Units,%,Estimated value,Free,,Total
Argentina,AR,ARG,32,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2015,87,Total,Units,%,Estimated value,Free,,Total
Argentina,AR,ARG,32,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2016,88,Total,Units,%,Estimated value,Free,,Total
Argentina,AR,ARG,32,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2017,89,Total,Units,%,Estimated value,Free,,Total
Argentina,AR,ARG,32,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2018,99,Total,Units,%,Estimated value,Free,,Total
Argentina,AR,ARG,32,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2019,84,Total,Units,%,Estimated value,Free,,Total
Argentina,AR,ARG,32,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2020,71,Total,Units,%,Estimated value,Free,,Total
Argentina,AR,ARG,32,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2021,79,Total,Units,%,Estimated value,Free,,Total
Argentina,AR,ARG,32,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2022,93,Total,Units,%,Estimated value,Free,,Total
Armenia,AM,ARM,51,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2000,94,Total,Units,%,Estimated value,Free,,Total
Armenia,AM,ARM,51,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2001,96,Total,Units,%,Estimated value,Free,,Total
Armenia,AM,ARM,51,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2002,95,Total,Units,%,Estimated value,Free,,Total
Armenia,AM,ARM,51,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2003,93,Total,Units,%,Estimated value,Free,,Total
Armenia,AM,ARM,51,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2004,94,Total,Units,%,Estimated value,Free,,Total
Armenia,AM,ARM,51,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2005,92,Total,Units,%,Estimated value,Free,,Total
Armenia,AM,ARM,51,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2006,85,Total,Units,%,Estimated value,Free,,Total
Armenia,AM,ARM,51,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2007,93,Total,Units,%,Estimated value,Free,,Total
Armenia,AM,ARM,51,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2008,94,Total,Units,%,Estimated value,Free,,Total
Armenia,AM,ARM,51,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2009,96,Total,Units,%,Estimated value,Free,,Total
Armenia,AM,ARM,51,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2010,97,Total,Units,%,Estimated value,Free,,Total
Armenia,AM,ARM,51,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2011,98,Total,Units,%,Estimated value,Free,,Total
Armenia,AM,ARM,51,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2012,97,Total,Units,%,Estimated value,Free,,Total
Armenia,AM,ARM,51,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2013,97,Total,Units,%,Estimated value,Free,,Total
Armenia,AM,ARM,51,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2014,97,Total,Units,%,Estimated value,Free,,Total
Armenia,AM,ARM,51,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2015,97,Total,Units,%,Estimated value,Free,,Total
Armenia,AM,ARM,51,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2016,97,Total,Units,%,Estimated value,Free,,Total
Armenia,AM,ARM,51,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2017,97,Total,Units,%,Estimated value,Free,,Total
Armenia,AM,ARM,51,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2018,96,Total,Units,%,Estimated value,Free,,Total
Armenia,AM,ARM,51,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2019,96,Total,Units,%,Estimated value,Free,,Total
Armenia,AM,ARM,51,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2020,94,Total,Units,%,Estimated value,Free,,Total
Armenia,AM,ARM,51,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2021,94,Total,Units,%,Estimated value,Free,,Total
Armenia,AM,ARM,51,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2022,94,Total,Units,%,Estimated value,Free,,Total
Australia,AU,AUS,36,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2004,85,Total,Units,%,Estimated value,Free,,Total
Australia,AU,AUS,36,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2005,85,Total,Units,%,Estimated value,Free,,Total
Australia,AU,AUS,36,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2006,87,Total,Units,%,Estimated value,Free,,Total
Australia,AU,AUS,36,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2007,89,Total,Units,%,Estimated value,Free,,Total
Australia,AU,AUS,36,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2008,80,Total,Units,%,Estimated value,Free,,Total
Australia,AU,AUS,36,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2009,82,Total,Units,%,Estimated value,Free,,Total
Australia,AU,AUS,36,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2010,88,Total,Units,%,Estimated value,Free,,Total
Australia,AU,AUS,36,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2011,90,Total,Units,%,Estimated value,Free,,Total
Australia,AU,AUS,36,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2012,91,Total,Units,%,Estimated value,Free,,Total
Australia,AU,AUS,36,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2013,92,Total,Units,%,Estimated value,Free,,Total
Australia,AU,AUS,36,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2014,93,Total,Units,%,Estimated value,Free,,Total
Australia,AU,AUS,36,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2015,93,Total,Units,%,Estimated value,Free,,Total
Australia,AU,AUS,36,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2016,94,Total,Units,%,Estimated value,Free,,Total
Australia,AU,AUS,36,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2017,93,Total,Units,%,Estimated value,Free,,Total
Australia,AU,AUS,36,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2018,93,Total,Units,%,Estimated value,Free,,Total
Australia,AU,AUS,36,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2019,94,Total,Units,%,Estimated value,Free,,Total
Australia,AU,AUS,36,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2020,94,Total,Units,%,Estimated value,Free,,Total
Australia,AU,AUS,36,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2021,94,Total,Units,%,Estimated value,Free,,Total
Australia,AU,AUS,36,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2022,91,Total,Units,%,Estimated value,Free,,Total
Austria,AT,AUT,40,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2000,35,Total,Units,%,Estimated value,Free,,Total
Austria,AT,AUT,40,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2001,34,Total,Units,%,Estimated value,Free,,Total
Austria,AT,AUT,40,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2002,39,Total,Units,%,Estimated value,Free,,Total
Austria,AT,AUT,40,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2003,46,Total,Units,%,Estimated value,Free,,Total
